CityName,Id_City,Id_Region
אבו סנאן,1,2
אבטליון,2,2
אביבים,3,1
אביטל,4,1
אבן מנחם,5,2
אבני איתן,6,1
אדמית,7,2
אודם,8,1
אור הגנוז,9,2
אורטל,10,1
אחיהוד,11,2
איילת השחר,12,2
אילון,13,2
אילנייה,14,2
אכסאל,15,2
אל -רום,16,1
אלומות,17,2
אלון הגליל,18,2
אלוני אבא,19,2
אלוני הבשן,20,1
אלונים,21,2
אלי-עד,22,1
אליפלט,23,2
אליקים,24,2
אלמגור,25,2
אלקוש,26,2
אמירים,27,2
אניעם,28,1
אעבלין,29,2
אפיק,30,1
אפיקים,31,2
אפק,32,2
ארבל,33,2
אשדות יעקב ,34,2
אשרת,35,2
בוסתן הגליל,36,2
ביר אל-מכסור,37,2
בירייה,38,1
בית ג'ן,39,2
בית הלל,40,1
בית העמק,41,2
בית זיד,42,2
בית זרע,43,2
בית יוסף,44,2
בית לחם הגלילית,45,2
בית קשת,46,2
בית רימון,47,2
בית שאן,48,2
בית שערים,49,2
בלפוריה,50,2
בן עמי,51,2
בני יהודה,52,1
בסמת טבעון,53,2
בענה,54,2
בצת,55,2
בר יוחאי,56,1
ברעם,57,2
ברק,58,2
ג'דיידה-מכר,59,2
ג'ולס,60,2
ג'ש (גוש חלב),61,2
גבע,62,2
גבעת אבני,63,2
גבעת אלה,64,2
גבעת יואב,65,1
גבעת עוז,66,2
גבת,67,2
גדות,68,2
גדיש,69,2
גדעונה,70,2
גונן,71,2
גורן,72,2
גורנות הגליל,73,2
גזית,74,2
גילון,75,2
גינוסר,76,2
גיניגר,77,2
גלעד (אבן יצחק),78,2
גן נר,79,2
געתון,80,2
גשור,81,1
גשר,82,2
גשר הזיו,83,2
דבורה,84,2
דבורייה,85,2
דברת,86,2
דגניה א',87,2
דגניה ב',88,2
"דוב""ב",89,2
דייר אל-אסד,90,2
דייר חנא,91,2
דישון,92,1
דלייה,93,2
דלתון,94,1
דן,95,1
דפנה,96,1
האון,97,2
הגושרים,98,1
הושעיה,99,2
הזורע,100,2
הזורעים,101,2
היוגב,102,2
הילה,103,2
הסוללים,104,2
הרדוף,105,2
הררית,106,2
זרזיר,107,2
חד-נס,108,1
חולתה,109,1
חוסן,110,2
חוקוק,111,2
חורפיש,112,2
חזון,113,2
חמדיה,114,2
חניתה,115,2
חנתון,116,2
חספין,117,1
חפצי-בה,118,2
חצור הגלילית,119,2
חרשים,120,2
טבריה,121,2
טובא-זנגרייה,122,1
טורעאן,123,2
טייבה (בעמק),124,2
טירת צבי,125,2
טל-אל,126,2
טמרה,127,2
יבנאל,128,2
יובל,129,2
יובלים,130,2
יודפת,131,2
יונתן,132,1
יזרעאל,133,2
יחיעם,134,2
יסוד המעלה,135,1
יסעור,136,2
יעד,137,1
יערה,138,2
יפיע,139,2
יפעת,140,2
יפתח,141,1
יקנעם (מושבה),142,2
יקנעם עילית,143,2
יראון,144,1
ירדנה,145,2
ירכא,146,2
כאבול,147,2
כאוכב אבו אל-היג'א,148,2
כברי,149,2
כדורי,150,2
כדיתה,151,2
כורזים,152,2
כחל,153,1
כישור,154,1
כליל,155,1
כלנית,156,2
כמון,157,2
כנף,158,1
כנרת (מושבה),159,2
כנרת (קבוצה),160,2
כסרא-סמיע,161,2
כעביה-טבאש-חג'אג'רה,162,2
כפר בלום,163,1
כפר ברוך,164,2
כפר גדעון,165,2
כפר גלעדי,166,1
כפר החורש,167,2
כפר הנשיא,168,1
כפר ורדים,169,2
כפר זיתים,170,2
כפר חושן,171,2
כפר חיטים,172,2
כפר חנניה,173,2
כפר חרוב,174,1
כפר יאסיף,175,2
כפר יהושע,176,2
כפר יחזקאל,177,2
כפר כמא,178,2
כפר כנא,179,2
כפר מנדא,180,2
כפר מסריק,181,2
כפר מצר,182,2
כפר סאלד,183,1
כפר קיש,184,2
כפר ראש הנקרה,185,2
כפר רוזנואלד (זרעית),186,2
כפר רופין,187,2
כפר שמאי,188,1
כפר תבור,189,2
כרכום,190,2
כרם בן זמרה,191,1
כרמיאל,192,2
לבון,193,2
לביא,194,2
להבות הבשן,195,1
לוחמי הגיטאות,196,2
לוטם,197,2
לימן,198,2
לפידות,199,2
מבוא חמה,200,1
מג'ד אל-כרום,201,2
מג'דל שמס,202,1
מגאר,203,2
מגדל,204,2
מגדל העמק,205,2
מגדל תפן,206,2
מגידו,207,2
מגן שאול,208,2
מדרך עוז,209,2
מולדת,210,2
מוקייבלה,211,2
מורן,212,2
מורשת,213,2
מזרע,214,2
מזרעה,215,2
מחניים,216,1
מטולה,217,1
מיצר,218,1
מירב,219,2
מירון,220,1
מכמנים,221,2
מלאה,222,2
מלכייה,223,1
מלכישוע,224,2
מנוף,225,2
מנות,226,2
מנחמיה,227,2
מנרה,228,1
מנשית זבדה,229,2
מסדה,230,2
מסילות,231,2
מסעדה,232,1
מעגן,233,2
מעוז חיים,234,2
מעונה,235,2
מעיין ברוך,236,1
מעיליא,237,2
מעלה גלבוע,238,2
מצובה,239,2
מצפה,240,2
"מצפה אבי""ב",241,2
מצפה נטופה,242,2
מרגליות,243,2
מרום גולן,244,1
מרחביה (מושב),245,2
מרחביה (קיבוץ),246,2
משגב עם,247,1
משהד,248,2
משמר הירדן,249,2
משמר העמק,250,2
מתת,251,2
נאות גולן,252,1
נאות מרדכי,253,1
נאעורה,254,2
נהלל,255,2
נהרייה,256,2
נוב,257,1
נווה אור,258,2
"נווה אטי""ב",259,1
נווה איתן,260,2
נורית,261,2
נחף,262,2
נטועה,263,2
נטור,264,1
ניין,265,2
ניר דוד (תל עמל),266,2
נמרוד,267,1
נס עמים,268,2
נצרת,269,2
נצרת עילית,270,2
נתיב השיירה,271,2
סאג'ור,272,2
סאסא,273,1
סח'נין,274,2
